,index,HR_Mean,HR_Median,HR_std,HR_Min,HR_Max,HR_AUC,Round,Phase,Individual,Puzzler,Frustrated,Cohort
936,83,76.8750925925926,77.49000000000001,3.096853440153434,67.53,81.4,24834.8,round_1,phase1,7,1,2,D1_1
937,38,60.82979094076656,60.05,5.871509969911555,52.52,75.37,17394.11,round_3,phase1,4,1,2,D1_1
938,19,66.05290429042904,65.07,4.748375478293847,59.15,73.88,19946.605,round_4,phase2,2,0,5,D1_1
939,94,79.13373134328357,77.75,3.3372395436826,75.33,87.85,26431.615,round_1,phase2,8,0,5,D1_1
940,16,71.92974025974026,72.17500000000001,4.5149557405894205,62.78,80.98,22077.91,round_2,phase2,2,0,5,D1_1
941,92,72.32075,71.97,3.4654240287531275,65.92,79.88,23073.535,round_4,phase1,8,0,2,D1_1
942,152,86.43198630136988,88.255,7.798156150015072,72.57,99.35,25147.785000000003,round_4,phase1,13,1,1,D1_2
943,25,79.63875409836065,78.83,5.830838593699953,70.0,91.65,24199.705,round_3,phase2,3,1,4,D1_1
944,21,78.53584775086506,70.18,15.509766324769757,68.4,113.78,22607.06,round_1,phase3,2,0,2,D1_1
945,41,68.43320945945948,60.115,16.643294353960943,52.95,107.32,20185.13,round_2,phase1,4,1,2,D1_1
946,41,68.43320945945948,60.115,16.643294353960943,52.95,107.32,20185.13,round_2,phase1,4,1,2,D1_1
947,130,93.46495145631069,94.88,7.187331324790251,74.25,101.68,28792.96,round_1,phase2,11,0,4,D1_2
948,48,64.58459459459459,62.535,7.107540553274758,57.32,88.32,19041.17,round_3,phase3,5,0,1,D1_1
949,108,72.82683501683502,72.72,1.3434375342751923,70.18,75.53,21556.115,round_3,phase3,10,0,0,D1_2
950,157,72.27250825082508,72.4,5.662387432540269,63.07,83.9,21821.550000000003,round_3,phase2,14,0,4,D1_2
951,150,75.61034013605443,76.05,3.067510338879797,69.65,80.07,22152.95,round_4,phase3,13,1,3,D1_2
952,3,78.91682242990655,77.88,4.0545949084335575,72.32,84.92,25258.905,round_2,phase3,1,1,1,D1_1
953,44,90.53556313993174,94.0,19.733227439482945,63.58,119.38,26457.225,round_4,phase1,4,1,2,D1_1
954,95,92.27958904109587,93.1,7.322805042027889,79.77,107.42,20128.905,round_1,phase1,8,0,2,D1_1
955,140,59.7292808219178,56.32,5.790470708620955,54.93,72.33,17380.56,round_4,phase1,12,1,1,D1_2
956,63,75.22040677966102,75.07,4.595892706095332,67.17,95.6,22104.43,round_2,phase3,6,0,6,D1_1
957,121,90.6563455149502,88.77,7.506065720483766,81.22,104.88,27205.5,round_3,phase2,11,0,3,D1_2
958,113,72.60205574912891,72.25,3.312010717055149,67.95,83.12,20761.255,round_2,phase1,10,0,1,D1_2
959,4,77.32222580645161,74.55,6.047603222640392,70.52,90.15,23890.565,round_2,phase2,1,1,5,D1_1
960,0,77.96518644067797,78.0,3.3452903053436787,73.23,83.37,22924.945,round_3,phase3,1,1,1,D1_1
961,46,96.15934131736527,88.02,21.8803070271162,59.83,137.67,32040.635,round_1,phase2,4,1,2,D1_1
962,73,79.01816129032257,77.665,4.533856046844992,74.25,89.82,24416.08,round_3,phase2,7,1,6,D1_1
